gpca,     p6,     Faulty_GPCA_Prop6-ROR-2-8-ROR-2-18,     false,    2,    MINIMAL_FORALL_UNKNOWN,     1,     606.938,     606.827,     1.913,     604.914,     2,     3,     0.956,     201.638,     p1 = ((false and (Disable_Audio <> 0)) => ((out_Audio_Notification_Command = Audio_Level) and (out_Is_Audio_Disabled <> 0)));,     
gpca,     p6,     Faulty_GPCA_Prop6-LOR-2-8-ROR-5-6,     false,    2,    MINIMAL_FORALL_UNKNOWN,     1,     613.237,     613.068,     4.327,     608.741,     3,     4,     1.442,     152.185,     p1 = (((((not System_On) xor false) and ((out_Highest_Level_Alarm < 4) and (out_Highest_Level_Alarm > 4))) and (Disable_Audio > 0)) => ((out_Is_Audio_Disabled >= 32) or (out_Is_Audio_Disabled >= 31)));,     
gpca,     p6,     Faulty_GPCA_Prop6-ROR-1-8-ROR-1-10,     false,    3,    MINIMAL_FORALL_UNKNOWN,     1,     623.417,     623.02,     4.653,     618.367,     5,     6,     0.93,     103.061,     p1 = (false => ((out_Audio_Notification_Command <= Audio_Level) and (out_Is_Audio_Disabled = 0)));,     
gpca,     p6,     Faulty_GPCA_Prop6-ROR-2-5-ROR-2-11,     false,    2,    MINIMAL_FORALL_UNKNOWN,     1,     694.624,     694.342,     5.728,     688.614,     5,     6,     1.145,     114.769,     p1 = ((((not System_On) xor (not System_On)) and (Disable_Audio <= 0)) => ((out_Audio_Notification_Command > Audio_Level) and (out_Is_Audio_Disabled = 0)));,     
gpca,     p7,     Faulty_GPCA_Prop7-LOR-3-0-LOR-3-7,     false,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     1095.664,     1091.677,     84.519,     1007.158,     34,     35,     2.485,     28.775,     p1 = ((System_On => (Disable_Audio > 0)) => true);,     
gpca,     p7,     Faulty_GPCA_Prop7-LOR-2-3-ROR-3-10,     false,    2,    MINIMAL_MAX_LOOP_REACHED,     1,     808.438,     803.696,     71.535,     732.161,     34,     35,     2.103,     20.918,     p1 = ((System_On and (Disable_Audio = 1)) or true);,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-2-3-ROR-3-7,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     141.565,     137.347,     43.28,     94.067,     34,     35,     1.272,     2.687,     p1 = (((((not In_Therapy) or (not System_On)) => ((not System_On) => (not System_On))) => false) => (out_Highest_Level_Alarm = 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-2-2-ROR-3-2,     false,    0,    MINIMAL_FORALL_UNKNOWN,     1,     788.214,     783.312,     54.767,     728.545,     34,     35,     1.61,     20.815,     p1 = (((((not In_Therapy) => (not In_Therapy)) and ((not In_Therapy) and In_Therapy)) or false) => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-1--1-ROR-1-4,     false,    3,    MINIMAL_MAX_LOOP_REACHED,     1,     487.553,     471.372,     97.468,     373.904,     35,     36,     2.784,     10.386,     p1 = (((((Reservoir_Volume = 21) => (Low_Reservoir = 1)) => ((Low_Reservoir >= 2) xor false)) and (((Reservoir_Volume < Low_Reservoir) or (Low_Reservoir > 1)) and (Low_Reservoir <= 0))) => (out_Highest_Level_Alarm < 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-2-1-ROR-2-7,     false,    2,    TRUE_FOR_MAX_STEPS,     1,     20.549,     20.332,     5.824,     14.508,     5,     5,     1.164,     2.901,     p1 = ((((In_Therapy or In_Therapy) and ((not In_Therapy) and In_Therapy)) and (Reservoir_Volume >= Low_Reservoir)) => (out_Highest_Level_Alarm = 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-2-2-ROR-3-1,     false,    0,    MINIMAL_FORALL_UNKNOWN,     1,     760.038,     756.049,     43.944,     712.105,     34,     35,     1.292,     20.345,     p1 = (((((not In_Therapy) => (not In_Therapy)) and ((not In_Therapy) and In_Therapy)) or false) => (out_Highest_Level_Alarm >= 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-3-1-ROR-4-8,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     194.498,     192.236,     57.175,     135.061,     35,     36,     1.633,     3.751,     p1 = (((System_On xor In_Therapy) and false) => false);,     
gpca,     p8,     Faulty_GPCA_Prop8-ROR-3-1-ROR-3-4,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     152.514,     150.953,     53.144,     97.809,     38,     39,     1.398,     2.507,     p1 = (((System_On and In_Therapy) and false) => (out_Highest_Level_Alarm < 2));,     
gpca,     p8,     Faulty_GPCA_Prop8-LOR-3-0-ROR-3-5,     false,    0,    MINIMAL_MAX_LOOP_REACHED,     1,     233.582,     232.165,     49.941,     182.224,     34,     35,     1.468,     5.206,     p1 = (((System_On => In_Therapy) and false) => (out_Highest_Level_Alarm <= 2));,     
gpca,     p9,     Faulty_GPCA_Prop9-LOR-2-3-ROR-2-8,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     5.647,     5.552,     1.804,     3.748,     2,     2,     0.902,     1.874,     p1 = (System_On => (false => (out_Highest_Level_Alarm <> 4)));,     
gpca,     p9,     Faulty_GPCA_Prop9-LOR-2-3-ROR-2-8,     false,    0,    TRUE_FOR_MAX_STEPS,     1,     6.134,     6.061,     1.716,     4.345,     2,     2,     0.858,     2.172,     p1 = (System_On => (false => (out_Highest_Level_Alarm <> 4)));,     
