gpca,     p1,     Faulty_GPCA_Prop1-LOR-2-1,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     29.89,     29.589,     8.726,     20.863,     5,     5,     1.745,     4.172,     p1 = (((In_Therapy and System_On) and Reservoir_Empty) => (out_Highest_Level_Alarm = 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-ROR-3-1,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     9.901,     9.783,     2.036,     7.747,     2,     2,     1.018,     3.873,     p1 = (((System_On and In_Therapy) and Reservoir_Empty) => (out_Highest_Level_Alarm = 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-2,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     63.82,     63.483,     11.643,     51.84,     9,     9,     1.293,     5.76,     p1 = (((Reservoir_Empty and System_On) and ((not In_Therapy) => In_Therapy)) => (out_Highest_Level_Alarm = 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1--1,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     43.097,     42.661,     11.18,     31.481,     9,     9,     1.242,     3.497,     p1 = (((In_Therapy and Reservoir_Empty) and ((not System_On) xor In_Therapy)) => (out_Highest_Level_Alarm = 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-3,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     59.992,     59.735,     9.761,     49.974,     9,     9,     1.084,     5.552,     p1 = (((Reservoir_Empty and System_On) and ((not In_Therapy) => In_Therapy)) => (out_Highest_Level_Alarm = 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-ROR-3--1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     9.366,     9.279,     2.247,     7.032,     3,     3,     0.749,     2.344,     p1 = (((System_On and In_Therapy) and Reservoir_Empty) => (out_Highest_Level_Alarm = 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-4,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     44.453,     44.235,     8.548,     35.687,     9,     9,     0.949,     3.965,     p1 = (((Reservoir_Empty and System_On) and ((not In_Therapy) => In_Therapy)) => (out_Highest_Level_Alarm = 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-ROR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     5.493,     5.43,     1.304,     4.126,     2,     2,     0.652,     2.063,     p1 = (((System_On and In_Therapy) and Reservoir_Empty) => (out_Highest_Level_Alarm = 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-3,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     49.153,     48.932,     8.545,     40.387,     9,     9,     0.949,     4.487,     p1 = (((Reservoir_Empty and System_On) and ((not In_Therapy) => In_Therapy)) => (out_Highest_Level_Alarm = 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-2,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     63.608,     63.246,     10.77,     52.476,     9,     9,     1.196,     5.83,     p1 = (((Reservoir_Empty and System_On) and ((not In_Therapy) => In_Therapy)) => (out_Highest_Level_Alarm = 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-1,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     40.813,     40.308,     14.274,     26.034,     9,     9,     1.586,     2.892,     p1 = (((In_Therapy and Reservoir_Empty) and ((not In_Therapy) xor System_On)) => (out_Highest_Level_Alarm = 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-ROR-3-1,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     7.519,     7.439,     1.612,     5.827,     2,     2,     0.806,     2.913,     p1 = (((System_On and In_Therapy) and Reservoir_Empty) => (out_Highest_Level_Alarm = 4));,     
gpca,     p1,     Faulty_GPCA_Prop1-LOR-1-4,     true,    2,    TRUE_FOR_MAX_STEPS,     2,     61.307,     60.958,     12.487,     48.471,     9,     9,     1.387,     5.385,     p1 = (((Reservoir_Empty and System_On) and ((not In_Therapy) => In_Therapy)) => (out_Highest_Level_Alarm = 4));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-3-0,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     15.437,     15.294,     3.719,     11.575,     5,     5,     0.743,     2.315,     p1 = ((((In_Therapy and System_On) and Reservoir_Empty) and (Volume_Infused > VTBI_High)) => (out_Highest_Level_Alarm >= 3));,     
gpca,     p3,     Faulty_GPCA_Prop3-LOR-3-1,     true,    1,    TRUE_FOR_MAX_STEPS,     1,     11.587,     11.471,     2.913,     8.558,     4,     4,     0.728,     2.139,     p1 = ((((In_Therapy and System_On) and Reservoir_Empty) and (Volume_Infused > VTBI_High)) => (out_Highest_Level_Alarm >= 3));,     
