infusion,     p11,     Faulty_Prop11-ROR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     499.627,     497.525,     455.232,     42.293,     31,     31,     14.684,     1.364,     p1 = ((System_On and (Commanded_Flow_Rate <= 255)) xor ((Commanded_Flow_Rate = 0) and (Current_System_Mode <= Commanded_Flow_Rate)));,     
infusion,     p11,     Faulty_Prop11-LOR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     1118.016,     1111.817,     1041.37,     70.447,     50,     50,     20.827,     1.408,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode > 1)) and (System_On xor (Current_System_Mode = 0)));,     
infusion,     p11,     Faulty_Prop11-ROR-1-1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     17.189,     17.044,     5.641,     11.403,     10,     10,     0.564,     1.14,     p1 = (((Current_System_Mode <= 8) => (Current_System_Mode = 5)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p11,     Faulty_Prop11-LOR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     498.921,     496.314,     454.583,     41.731,     37,     37,     12.286,     1.127,     p1 = ((System_On xor (Current_System_Mode = 0)) and ((Current_System_Mode <= 1) => (Commanded_Flow_Rate = 0)));,     
infusion,     p11,     Faulty_Prop11-LOR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     840.1,     837.288,     795.988,     41.3,     39,     39,     20.409,     1.058,     p1 = ((System_On xor (Current_System_Mode = 0)) and ((Commanded_Flow_Rate = 0) or (Current_System_Mode > 1)));,     
infusion,     p11,     Faulty_Prop11-LOR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     477.384,     475.522,     440.893,     34.629,     31,     31,     14.222,     1.117,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)) and (System_On xor (Current_System_Mode = 0)));,     
infusion,     p11,     Faulty_Prop11-ROR-2-0,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     11.498,     11.396,     3.522,     7.874,     7,     7,     0.503,     1.124,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p11,     Faulty_Prop11-LOR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     532.812,     530.277,     488.153,     42.124,     37,     37,     13.193,     1.138,     p1 = ((System_On xor (Current_System_Mode = 0)) and ((Current_System_Mode <= 1) => (Commanded_Flow_Rate = 0)));,     
infusion,     p11,     Faulty_Prop11-ROR-2-0,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     11.896,     11.797,     3.629,     8.168,     7,     7,     0.518,     1.166,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p11,     Faulty_Prop11-LOR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     383.004,     381.13,     345.88,     35.25,     31,     31,     11.157,     1.137,     p1 = (((Current_System_Mode <= 0) xor System_On) and ((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)));,     
infusion,     p11,     Faulty_Prop11-ROR-2-2,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     4.884,     4.836,     1.407,     3.429,     3,     3,     0.469,     1.143,     p1 = ((System_On and (Current_System_Mode < 1)) => (Commanded_Flow_Rate = Flow_Rate_Intermittent_Bolus));,     
infusion,     p11,     Faulty_Prop11-LOR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     488.602,     486.642,     451.411,     35.231,     31,     31,     14.561,     1.136,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)) and (System_On xor (Current_System_Mode = 0)));,     
infusion,     p11,     Faulty_Prop11-LOR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     506.843,     504.256,     461.927,     42.329,     37,     37,     12.484,     1.144,     p1 = ((System_On xor (Current_System_Mode = 0)) and ((Current_System_Mode <= 1) => (Commanded_Flow_Rate = 0)));,     
infusion,     p11,     Faulty_Prop11-LOR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     758.033,     753.327,     699.197,     54.13,     50,     50,     13.983,     1.082,     p1 = (((Commanded_Flow_Rate <= Current_System_Mode) or (Current_System_Mode >= 2)) and ((not System_On) xor (Current_System_Mode > 0)));,     
infusion,     p11,     Faulty_Prop11-LOR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     760.659,     756.012,     701.869,     54.143,     50,     50,     14.037,     1.082,     p1 = (((Commanded_Flow_Rate <= Current_System_Mode) or (Current_System_Mode >= 2)) and ((not System_On) xor (Current_System_Mode > 0)));,     
infusion,     p12,     Faulty_Prop12-ROR-2-3,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     9.946,     9.714,     2.829,     6.885,     6,     6,     0.471,     1.147,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p12,     Faulty_Prop12-LOR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     348.397,     346.436,     315.204,     31.232,     29,     29,     10.869,     1.076,     p1 = ((System_On xor (Commanded_Flow_Rate < 0)) xor ((Commanded_Flow_Rate = 0) and (Current_System_Mode <= Commanded_Flow_Rate)));,     
infusion,     p12,     Faulty_Prop12-ROR-0-3,     true,    2,    MINIMAL_EXISTS_UKNOWN,     7,     1026.662,     1022.513,     971.328,     51.185,     45,     45,     21.585,     1.137,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)) and ((Current_System_Mode > 0) xor (not System_On)));,     
infusion,     p12,     Faulty_Prop12-ROR-2-0,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     9.549,     9.469,     2.915,     6.554,     6,     6,     0.485,     1.092,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p12,     Faulty_Prop12-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     2115.908,     2111.428,     2058.876,     52.552,     48,     48,     42.893,     1.094,     p1 = (((Current_System_Mode >= 0) and (Current_System_Mode <= 8)) and ((Current_System_Mode >= 1) xor (not System_On)));,     
infusion,     p12,     Faulty_Prop12-ROR-1--1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     18.342,     18.161,     6.248,     11.913,     11,     11,     0.568,     1.083,     p1 = (((Current_System_Mode <= 8) => (Current_System_Mode = 5)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p12,     Faulty_Prop12-ROR-2-1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     8.239,     8.163,     2.514,     5.649,     5,     5,     0.502,     1.129,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p12,     Faulty_Prop12-LOR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     385.262,     383.833,     353.332,     30.501,     29,     29,     12.183,     1.051,     p1 = ((System_On xor (Commanded_Flow_Rate < 0)) xor ((Commanded_Flow_Rate = 0) and (Current_System_Mode <= Commanded_Flow_Rate)));,     
infusion,     p12,     Faulty_Prop12-LOR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     194.82,     193.964,     169.931,     24.033,     21,     21,     8.091,     1.144,     p1 = ((System_On and (Current_System_Mode > 1)) or ((Commanded_Flow_Rate = 0) and (Commanded_Flow_Rate <= Current_System_Mode)));,     
