infusion,     p6,     Faulty_Prop6-ROR-11-26,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     8.938,     8.87,     2.512,     6.358,     2,     2,     1.256,     3.179,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => (((((Current_System_Mode = 1) or (Current_System_Mode = 2)) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)) or (Current_System_Mode = 8)));,     
infusion,     p6,     Faulty_Prop6-ROR-6-4,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     9.566,     9.474,     3.314,     6.16,     5,     5,     0.662,     1.232,     p1 = ((System_On and (Highest_Level_Alarm = 2)) => (((((Current_System_Mode = 2) xor (Current_System_Mode = 1)) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)) or (Current_System_Mode = 8)));,     
infusion,     p7,     Faulty_Prop7-ROR-2-4,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     7.565,     7.483,     2.734,     4.749,     3,     3,     0.911,     1.583,     p1 = ((Current_System_Mode = 0) => (Commanded_Flow_Rate = 0));,     
infusion,     p7,     Faulty_Prop7-ROR-2-6,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     8.306,     8.208,     2.74,     5.468,     3,     3,     0.913,     1.822,     p1 = ((Current_System_Mode = 0) => (Commanded_Flow_Rate = 0));,     
infusion,     p7,     Faulty_Prop7-ROR-2-4,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     6.687,     6.608,     2.027,     4.581,     3,     3,     0.675,     1.527,     p1 = ((Current_System_Mode = 0) => (Commanded_Flow_Rate = 0));,     
infusion,     p9,     Faulty_Prop9-ROR-6-11,     true,    0,    TRUE_FOR_MAX_STEPS,     1,     21.158,     21.022,     1.622,     19.4,     2,     2,     0.811,     9.7,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (((Current_System_Mode = 1) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-ROR-4-9,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     73.763,     73.657,     4.839,     68.818,     7,     7,     0.691,     9.831,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (((Current_System_Mode = 6) xor (Current_System_Mode = 1)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-LOR-1-0,     true,    1,    TRUE_FOR_MAX_STEPS,     2,     45.114,     44.836,     10.393,     34.443,     13,     13,     0.799,     2.649,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (((Current_System_Mode = 1) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-ROR-4-11,     true,    1,    TRUE_FOR_MAX_STEPS,     4,     99.408,     99.261,     8.005,     91.256,     7,     7,     1.143,     13.036,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (((Current_System_Mode = 6) xor (Current_System_Mode = 1)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-ROR-5-4,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     39.582,     39.504,     2.208,     37.296,     3,     3,     0.736,     12.432,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (((Current_System_Mode = 1) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-ROR-2--1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     52.649,     52.532,     4.52,     48.012,     5,     5,     0.904,     9.602,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (((Current_System_Mode = 1) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-LOR-4-5,     true,    1,    TRUE_FOR_MAX_STEPS,     7,     56.575,     56.313,     10.498,     45.815,     11,     11,     0.954,     4.165,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (((Current_System_Mode = 6) xor (Current_System_Mode = 1)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-ROR-4-13,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     38.291,     38.137,     5.531,     32.606,     6,     6,     0.921,     5.434,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (((Current_System_Mode = 1) xor (Current_System_Mode = 6)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-ROR-4-6,     true,    1,    TRUE_FOR_MAX_STEPS,     7,     51.638,     51.402,     8.759,     42.643,     11,     11,     0.796,     3.876,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (((Current_System_Mode = 6) xor (Current_System_Mode = 1)) or (Current_System_Mode = 7)));,     
infusion,     p9,     Faulty_Prop9-ROR-5-8,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     41.487,     41.398,     3.468,     37.93,     3,     3,     1.156,     12.643,     p1 = ((System_On and (Highest_Level_Alarm = 4)) => (((Current_System_Mode = 1) or (Current_System_Mode = 6)) or (Current_System_Mode = 7)));,     
